ID_SAMPLE,PREDICTOR,EST_COEF,STD_ERROR,Z_VALUE,P_VALUE,MODEL_RSQ_ADJ,MODEL_N,MODEL_F_TEST_PVALUE
"A99_Wtill98q4_creW_b97q4_s03q4","ActivoN",3.2459980276379076e-8,2.1034669282905034e-8,1.5431657060926287,0.12743185242315289,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","C8Est_w",0.0034997503133984524,0.004378192341421934,0.7993596535920613,0.42686533733734644,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","CAR_IRR_3A6",-0.012921802028445003,0.006895939447963192,-1.8738276526284798,0.06525147975743724,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_ROA",0.00820124783132142,0.019277133877926796,0.42543916970521356,0.6718599821795685,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_DEP_ARS_RATE",-0.008812974239430824,0.020710198010621936,-0.4255379033513242,0.6717883726101084,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_LOANS_ARS_RATE_W",0.003605928294109277,0.006409226945344733,0.5626151679226152,0.5755471633352027,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APRSpNF_RATE_W",-0.004713859039455486,0.006449891419581633,-0.7308431619708176,0.46738575314314634,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APR_USD_RATE",-0.006316717286203318,0.002542231956818688,-2.4847131943490974,0.015432169636271933,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APR_RATE_W",-0.00482243547688118,0.0034042516561060775,-1.4165919456134684,0.16116725070155086,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","(Intercept)",1.342552341218188,0.3118441047238684,4.305203532409216,5.484052459118202e-5,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","ActivoN",3.2459980276379076e-8,2.1034669282905034e-8,1.5431657060926287,0.12743185242315289,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","C8Est_w",0.0034997503133984524,0.004378192341421934,0.7993596535920613,0.42686533733734644,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","CAR_IRR_3A6",-0.012921802028445003,0.006895939447963192,-1.8738276526284798,0.06525147975743724,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_ROA",0.00820124783132142,0.019277133877926796,0.42543916970521356,0.6718599821795685,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_DEP_ARS_RATE",-0.008812974239430824,0.020710198010621936,-0.4255379033513242,0.6717883726101084,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","P_LOANS_ARS_RATE_W",0.003605928294109277,0.006409226945344733,0.5626151679226152,0.5755471633352027,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APRSpNF_RATE_W",-0.004713859039455486,0.006449891419581633,-0.7308431619708176,0.46738575314314634,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APR_USD_RATE",-0.006316717286203318,0.002542231956818688,-2.4847131943490974,0.015432169636271933,0.10447157002967022,78,0.05277612607589921
"A99_Wtill98q4_creW_b97q4_s03q4","APR_RATE_W",-0.00482243547688118,0.0034042516561060775,-1.4165919456134684,0.16116725070155086,0.10447157002967022,78,0.05277612607589921
